弹幕时间,弹幕内容
2021-07-19 19:41:48,逐  渐  放  肆
2021-05-17 23:07:35,哈哈哈哈哈
2021-05-10 13:37:57,红字，这部电影是95年的，老
2021-05-07 22:06:31,彼のは弾ける
2021-05-03 00:09:08,每日一遍
2021-04-26 15:35:23,此时此刻，劳动人民的艺术和智慧正活灵活现的展现在你我的眼前
2021-04-21 23:14:48,万恶之源
2021-04-21 00:43:51,前面长歌门弟子的，这里一位四川霸刀老幺只能说，云居河，永远的神
2021-04-13 19:51:12,鬼子：震撼我妈三百年
2021-04-11 17:45:54,司马懿  司马师  司马昭
2021-04-05 20:30:30,司马懿？
2021-04-05 14:19:56,再来亿遍
2021-04-04 12:56:16,官号？？？？？？？？？？
2024-03-05 15:03:07,滚滚滚
2024-03-03 14:27:35,东方玄学
2024-02-28 00:12:54,、
2024-02-27 18:51:57,你就说你看没看见吧
2024-02-26 02:14:46,春花子？
2024-02-21 01:28:34,我去，iPhone震起来了
2024-02-19 00:08:39,美国国家民族基金会干的各种丧尽天良的事
2024-02-19 00:08:30,《先》
2024-02-16 14:04:47,司马琴魔！！
2024-02-14 17:16:58,下面有请男低音选手上场
2024-02-14 17:15:51,大合唱
2024-02-14 17:15:21,音楽の力
2024-02-12 23:16:28,.
2024-02-12 12:45:24,弹贝斯咯～
2024-02-10 10:33:09,这是庙里
2024-02-10 06:06:27,弹姑娘来了
2024-01-21 11:59:44,爱人错过
2024-01-19 20:31:37,《音乐的魅力》
2024-01-19 20:31:27,啊？
2024-01-19 20:30:30,熊二
2024-01-19 20:27:28,为人者，有大度，成大器也
2024-01-19 20:25:38,这眼神，演技真的牛逼
2024-01-19 20:20:36,绷不住了，一个敢听，一个敢唱，一个敢信
2024-01-19 20:16:53,这货怎么那么会忽悠
2024-01-08 21:31:29,又心酸又好笑
2024-01-05 16:39:40,哈哈哈哈哈哈哈
2024-01-05 16:26:49,木柄
2023-12-31 18:11:51,震惊全场
2023-12-31 18:06:46,三德子也在啊
2023-12-26 01:05:36,泪目
2023-12-22 12:25:55,我滴不会滴干活
2023-12-16 20:57:19,6
2023-12-09 18:55:49,情报送出去以后，阿贵神情立刻放松了起来
2023-12-09 11:54:20,花姑娘没有，有小男孩
2023-12-03 16:30:48,宝柱
2023-12-02 17:01:52,好经典
2023-11-30 17:25:00,我都要哭了
2023-11-30 17:22:15,笑着笑着就哭了
2023-11-26 17:07:37,三小只
2023-11-23 23:17:18,脑回路惊奇的大佐
2023-11-23 23:16:09,斯国一
2023-11-23 23:15:52,震惊全场
2023-11-23 23:15:03,死啦死啦地
2023-11-23 23:14:31,就学会了吗？好快
2023-11-23 23:14:00,企业级理解
2023-11-23 23:12:52,经典桥段
2023-11-23 23:12:06,感觉逐渐上来了
2023-11-23 20:46:47,专业
2023-11-23 18:57:47,阅读理解现状
2023-11-23 18:57:29,当代阅读理解现状
2023-11-23 10:10:10,发财消灾
2023-11-23 10:09:24,stt
2023-11-20 20:17:25,棉花boys
2023-11-20 02:41:53,++++++
2023-11-20 02:41:48,++
2023-11-13 20:07:33,辅助MVP
2023-11-13 20:06:51,我？
2023-11-13 17:12:37,花姑爷
2023-11-11 21:07:03,红豆泥？！
2023-11-11 16:08:45,哈哈哈哈哈哈哈
2023-11-11 16:08:02,《字正腔圆》
2023-11-11 15:58:52,哈哈哈哈哈
2023-11-03 22:33:14,【张口就来】
2023-11-03 22:26:43,瞄了一眼ID。。
2023-11-03 13:47:15,真是华尔兹，1打打2打打3打打
2023-10-30 08:13:35,啊？
2023-10-25 22:59:44,杀日本鬼子！！！
2023-10-24 19:06:56,花大汉
2023-10-24 14:20:56,和恭喜恭喜你一样，那么悲伤
2023-10-23 04:21:52,哈哈哈哈
2023-10-21 15:42:30,哈哈哈哈
2023-10-19 04:06:01,宇宙13700万年。我们还在探索。
2023-10-19 04:03:40,儿童无罪在哪四季儿童当枪者。
2023-10-18 20:33:37,吹牛逼，毁自己，哈哈哈
2023-10-16 22:47:16,《音乐的力量》
2023-10-14 00:26:34,那时候没有字幕，说日语观众看不懂
2023-10-13 23:51:40,哈哈哈哈
2023-10-13 23:50:40,哈哈哈
2023-10-13 09:39:49,怎么手机会震动啊
2023-10-13 09:01:03,看后面的群众演员，跪坐的时候手肘外翻，这个姿势也是故意学的，现在的电影，主角都够呛能记得这种细节
2023-10-10 00:55:00,金牌辅助上线↓
2023-10-06 08:11:49,手机动起来了
2023-10-06 08:11:49,手机动起来了
2023-09-29 22:35:28,正 义 的 花 姑 娘 
2023-09-29 22:32:17,啊?
2023-09-29 22:28:08,细节盘腿
2023-09-29 22:09:54,逐渐自信
2023-09-29 04:03:55,渐入佳境
2023-09-29 01:43:02,我的手机也在弹
2023-09-28 18:45:11,音楽の力
2023-09-28 12:58:32,跑调了
2023-09-26 09:46:15,啊？都能听懂？
2023-09-25 13:03:08,引来的怕不是喀秋莎
2023-09-22 19:55:01,一神带两狗
2023-09-17 16:52:26,哈哈哈哈哈
2023-09-17 16:50:09,哈哈哈哈哈哈哈
2023-09-17 16:46:41,哈哈哈，全靠辅助
2023-09-17 16:45:01,hhhhh
2023-09-16 10:21:32,小胡子嗓音挺好的
2023-09-15 16:10:56,旋律优美
2023-09-15 16:09:57,太有意境了这歌词
2023-09-14 22:24:23,战忽局头目
2023-09-14 22:19:12,渐入佳境
2023-09-14 16:46:52,这个日本军官就是编剧总导演~~~~
2023-09-13 21:57:15,恐怖！！！阿英快跑！
2023-09-13 21:49:18,当时还有很多人不认识字，怕看不懂字幕，所以采用这种方式
2023-09-12 11:36:12,杀鬼子呦，杀鬼子呦，肿瘤般的鬼子杀无赦哟……
2023-09-12 09:04:20,原先没有字幕，说日语听不懂，就都用中文来表现
2023-09-11 21:50:36,MVP
2023-09-10 23:03:11,也是圆的
2023-09-09 11:08:14,《 华 尔 兹  》
2023-09-09 11:06:09,《 嬉 皮 笑 脸 》
2023-09-09 11:05:43,《 温 柔 》
2023-09-09 11:05:02,《 温 柔 》
2023-09-09 11:04:32,《专业对口》
2023-09-09 11:04:02,《 肃 然 起 敬 》
2023-09-09 11:03:37,《鬼子》
2023-09-08 23:01:17,唐总以为自己唱的弹棉花
2023-09-07 02:50:40,这一幕太吓人了
2023-09-06 22:59:36,大召唤士
2023-09-05 09:39:47,哇咔立马西大
2023-09-04 19:51:04,你不是能听懂中文吗 
2023-09-03 14:06:18,哈哈哈哈哈哈哈哈
2023-09-02 20:20:02,魏宗万老师
2023-09-02 17:47:14,GIAO
2023-09-02 11:49:26,笑不出来
2023-09-02 11:47:54,半斤确实是八两啊
2023-09-02 01:24:03,是你，司马懿
2023-09-02 00:47:43,哈哈哈虽然但是 这不是听得懂中文吗
2023-09-02 00:23:15,我特么人傻了
2023-09-01 20:06:14,上头!
2023-09-01 20:05:03,顶级辅助
2023-09-01 20:01:29,呦西!
2023-09-01 15:41:03,[前方高能]
2023-08-31 16:47:33,肃然起敬
2023-08-29 21:42:14,毛子
2023-08-29 11:51:47,花姑娘啊，花姑娘～
2023-08-28 19:19:57,肃然起敬
2023-08-26 18:44:49,坂本龙一
2023-08-23 17:52:42,肃然起敬
2023-08-22 00:17:17,《你不是看见了吗》
2023-08-22 00:16:18,《音乐的魅力》
2023-08-22 00:14:38,顶级送人头
2023-08-21 23:31:37,虽然这个日本人说的是中文，但设定上是在说日语
2023-08-21 18:31:47,咳咳
2023-08-19 16:52:24,小学老师，还是教供人欣赏的音乐的，为何会在他国的土地上折磨不认识的人，这电影传达的战争的悲哀，怎能不让人只能唱出弹棉花，敬爱与和平
2023-08-18 18:11:12,太恐怖了，根本笑不出来
2023-08-18 15:54:08,看到这里突然高兴不起来了
2023-08-18 15:53:30,鬼子直接傻了
2023-08-18 15:48:55,卧槽真的好听
2023-08-18 15:47:45,顶级翻译
2023-08-17 14:45:15,[前方高能]
2023-08-14 11:48:08,咱仨要出道～
2023-08-13 10:08:52,侵略战争刚刚打起的时候不少日本人都多少会点中文毕竟人家是蓄谋已久的
2023-08-13 09:28:43,确实听着带些伤感
2023-08-10 22:45:53,听不见，根本听不见。这么小声，还想弹棉花
2023-08-07 13:25:29,新华社！！！
2023-08-04 16:54:48,我们看着好笑 以前那个年代好心疼
2023-08-04 16:53:37,还有震动呢
2023-08-02 20:55:43,哈哈哈哈哈哈哈哈
2023-08-01 01:22:00,笑不出来了，看不下去了
2023-07-31 20:55:33,TFboys
2023-07-30 20:42:32,6：
2023-07-28 09:49:25,出生还会知道温柔
2023-07-27 02:47:59,他甚至还能纠正
2023-07-27 01:23:23,气死
2023-07-27 01:21:51,xxxxxxx
2023-07-27 01:20:41,？？哪里来的脸
2023-07-27 01:18:34,拳头紧了
2023-07-27 01:15:53,可笑
2023-07-25 21:36:26,哎？哎~
2023-07-24 21:31:05,这句话给我一种陈佩斯小品的即视感，看似荒诞却又无法反驳……
2023-07-24 21:28:33,肃然起敬
2023-07-24 21:23:13,一哒哒，二哒哒，三哒哒，四哒哒……确实是华尔兹，没问题
2023-07-23 07:04:35,《看你》
2023-07-17 21:44:39,毛子
2023-07-14 20:39:08,hhhh
2023-07-13 20:49:59,步步逼近
2023-07-13 13:47:55,快跑啊
2023-07-13 13:47:15,滚啊
2023-07-13 03:15:53,华尔兹多用四三拍写作，节奏型是强弱弱，鬼子误以为是华尔兹理所应当
2023-07-13 03:13:55,那个清脆的乐声是史上最强辅助正在对音，说明他在想怎么去演奏/唱，这是个伏笔，能够引出后面的即兴演唱
2023-07-11 23:35:47,空降2：10
2023-07-11 23:35:22,空降2：10
2023-07-11 23:25:17,哪帮杀人眨眼？
2023-07-11 16:37:27,c位。。。哈哈哈
2023-07-11 16:31:40,棉花乐队。
2023-07-07 19:03:38,6
2023-07-06 18:22:30,《废话文学》
2023-07-06 14:01:21,音乐世家
2023-07-06 12:49:36,快走救命
2023-07-05 12:55:10,逐渐自信
2023-06-30 16:23:30,谭勉华
2023-06-28 14:21:33,你躺好，我带飞
2023-06-26 22:12:00,hhhhh
2023-06-26 22:06:11,《吟游诗人》
2023-06-26 22:05:54,《吟游诗人》
2023-06-26 22:04:47,hhhh
2023-06-26 22:04:00,hhhhhh
2023-06-26 13:40:26,一本正经地胡说八道
2023-06-26 13:34:42,神辅助
2023-06-25 14:39:24,花姑娘有可能是后院的花母猪，哈哈哈（举起手来）
2023-06-25 10:45:56,说日语肯定得有字幕，当时有几个认字的
2023-06-25 09:55:19,姓弹，叫弹鱼头
2023-06-24 20:59:48,企业级理解
2023-06-24 10:00:42,发动鬼才
2023-06-24 08:55:25,太吓人了
2023-06-24 08:48:29,弹个高俅打鬼子
2023-06-23 22:48:37,突然神色凝固了
2023-06-19 21:36:19,新华社
2023-06-19 11:48:58,哈哈哈哈
2023-06-10 11:03:31,司马懿弹棉花
2023-06-03 01:20:03,国服最强辅助
2023-05-26 01:00:24,真的超级好听，老艺术家的感染力，地道的中国气息
2023-05-23 12:27:49,邱小姐是吗？
2023-05-14 15:16:52,甚至不需要彩排
2023-05-06 22:06:11,没有弹幕了
2023-04-30 23:41:51,我大半夜不睡觉看这个
2023-04-24 14:34:21,一群恶鬼 仔细想很恐怖
2023-04-24 14:33:14,很恐怖这里
2023-04-24 14:27:57,声音真的特别好听
2023-04-22 13:31:41,震撼鬼子一万年
2023-04-22 13:31:18,这军官表情笑死我了
2023-04-21 00:02:46,能叫来邱小姐吗
2023-04-20 23:54:45,金牌辅助
2023-04-18 23:06:27,新华社
2023-04-17 17:11:11,[前方高能]
2023-04-11 20:14:10,开国大典男子天团
2023-04-07 11:52:33,上头了
2023-04-02 17:17:04,官方整活
2023-04-02 11:09:35,肃然起敬
2023-04-01 00:58:13,神秘的中国力量
2023-03-27 22:53:21,弹棉花
2023-03-26 14:49:40,高能03:52
2023-03-24 14:04:13,什么百鬼夜行
2023-03-22 09:43:34,谭棉花
2023-03-19 01:14:25,大师，我悟了
2023-03-19 01:13:16,绷不住了
2023-03-15 22:00:19,顶级男团。。。
2023-03-12 21:11:50,震撼鬼子 一整年
2023-03-11 20:23:11,现实里岂止是没命啊
2023-03-11 08:40:30,哈哈哈哈哈哈哈
2023-02-27 22:03:01,辅助杀疯了
2023-02-24 23:31:18,这个军鼓加进来感觉就不一样了
2023-02-17 12:50:51,文  化  大   输  出
2023-02-17 12:46:23,知小礼而无大节↓
2023-02-17 12:45:44,爱好和平 血仇不忘
2023-02-04 22:25:02,woc 我手机会震动
2023-01-30 00:16:03,哈哈哈哈哈
2023-01-16 07:24:22,Giao ，竟然有震动反馈
2023-01-14 13:33:48,鬼子全体下跪
2023-01-13 15:50:46,进度条已过半
2023-01-09 23:03:03,我靠 你们感觉手机震动了么？
2023-01-08 23:15:09,黄宏真是不愧是笑星
2023-01-08 23:11:46,艺术来自民间
2023-01-08 21:10:11,《新华社》
2023-01-01 17:45:44,6666666
2022-12-30 08:29:43,我高俅既会踢球又会弹棉花 简直文武双全
2022-12-29 14:25:47,我带你飞
2022-12-23 17:31:47,张春华
2022-12-19 22:50:49,观众互动环节
2022-12-19 18:39:50,翻译鬼才
2022-12-18 19:02:50,抗日时期天王乐队
2022-12-14 22:31:40,打的也是四三拍的指挥
2022-12-14 22:23:45,因为是强弱弱，四三拍
2022-12-13 23:15:18,这个运镜！！！
2022-12-12 20:04:25,音乐鉴赏大师
2022-12-12 16:08:07,嘿嘿嘿嘿嘿嘿嘻嘻嘻嘻
2022-12-12 16:07:55,哈哈哈哈哈哈哈
2022-12-12 00:16:31,阴乐逝家
2022-12-11 19:02:00,老幺：关键没词啊，我咋弹
2022-12-09 14:37:55,魏宗万老师太可爱了
2022-12-05 19:13:29,欧皇啊
2022-12-02 03:03:09,你们不知道那个年代文化普及率不高，字幕很多老年人看不懂
2022-11-14 19:52:56,前面的，站住，本来好好的，一句话，我也流泪了。决不能忘！！！
2022-11-13 12:37:32,金牌辅助上线
2022-11-13 09:16:47,笑拉了
2022-11-13 09:15:41,阴乐哇hhhhh
2022-11-13 09:08:43,hhhh
2022-11-13 09:07:29,确实
2022-11-13 09:06:23,还得是新华社
2022-11-13 09:05:55,在的
2022-11-11 21:27:52,颤音太感人
2022-10-30 01:08:03,啥情况
2022-10-29 16:16:00,哈哈哈哈哈哈
2022-10-26 01:44:42,我带你飞
2022-10-22 00:23:03,弹棉花罗
2022-10-19 19:04:36,这调子还挺好听
2022-10-17 19:07:42,前奏好听到爆
2022-10-15 00:12:34,开技能咯
2022-10-15 00:09:59,国宝级演员
2022-10-13 22:52:14,毛子！！！
2022-10-13 21:46:12,说书学生的声音真好听
2022-10-13 19:19:10,唱完就要动粗了
2022-10-08 17:43:24,瞳孔地震
2022-10-06 13:05:32,《最佳即兴》
2022-10-03 09:32:14,还有震动我擦
2022-10-02 21:30:27,毛子
2022-10-02 17:21:53,全是感情
2022-10-02 15:24:19,?????
2022-10-01 21:46:48,TMHboys
2022-09-25 13:46:05,笑死我了
2022-09-24 11:27:22,论队友的重要性
2022-09-23 22:33:28,一天一遍
2022-09-20 13:14:18,这要什么翻译
2022-09-20 08:57:37,fmvp冠军辅助
2022-09-20 08:38:03,棉花这名字放到日本，他们可能还真觉得很好听。。
2022-09-19 12:42:09,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2022-09-13 22:24:14,所以好多人都不知道弹棉花要加线加料了……
2022-09-13 17:32:38,哈哈哈哈哈哈
2022-09-13 17:31:31,这木饼是用来打磨把棉花压实的
2022-09-13 17:29:46,这调调日本人听着应该挺习惯啊
2022-09-08 21:20:00,看看！这才叫喜剧！！！！！！
2022-09-08 20:17:37,早起废话文学
2022-09-08 00:52:19,唐哥。
2022-09-04 17:00:22,小时后看这段觉得好笑，现在看真是觉得让人毛骨悚然
2022-09-03 14:44:01,、
2022-08-31 00:09:38,还有走位就离谱了。
2022-08-26 18:01:50,贝斯吉他鼓
2022-08-26 17:59:47,谭玲花：对对对，是我姐
2022-08-22 21:57:38,无法反驳
2022-08-22 21:52:45,艺术灵感来了拉不住
2022-08-21 10:18:51,渐入佳境
2022-08-19 23:41:05,眼睛亮了
2022-08-19 23:40:22,哈哈哈哈哈哈哈
2022-08-19 23:35:39,哈哈哈哈哈哈哈哈哈哈哈
2022-08-19 23:35:30,花姑娘
2022-08-19 00:40:14,这才对嘛吉他手主唱
2022-08-14 20:17:41,"说真的,看到这我就笑不出来了"
2022-08-13 15:27:47,弹棉花咯
2022-08-12 10:25:49,棉花幺弹棉花曲
2022-08-09 20:58:38,否定增加肯定
2022-08-08 21:20:15,刚从才浅那过来
2022-08-08 17:32:58,你是我的神
2022-08-08 15:55:10,哈哈哈哈
2022-08-08 14:01:33,多兰盾
2022-08-07 20:34:54,笑死我了
2022-08-04 11:27:36,《质 量 守 恒 定 律》
2022-08-03 17:47:19,tmhboy组合
2022-08-03 10:40:57,合情合理
2022-08-02 11:40:57,神级辅助
2022-08-01 19:10:05,［诸葛亮］进入了直播间
2022-08-01 03:08:00,还挺好听
2022-08-01 03:06:58,牛逼
2022-07-31 11:15:18,长按屏幕发现新世界。
2022-07-31 11:14:47,两倍速毫无违和感。
2022-07-30 21:29:46,高俅
2022-07-30 16:42:47,顶级民谣
2022-07-28 20:54:28,引来一堆喀秋莎
2022-07-28 17:38:35,还怪好听的
2022-07-28 15:12:42,这个音是F!
2022-07-28 12:55:19,按照花泽香菜这种名字推理，弹棉花在日本可能还真是个好名字
2022-07-26 20:52:35,姑娘们来了 
2022-07-26 20:50:44,这该死的魅力!
2022-07-26 17:06:21,谁能想到这视频是新华社的
2022-07-26 11:18:07,渐 入 佳 境
2022-07-25 20:56:23,他们好像魔鬼
2022-07-25 20:54:17,好恨日本
2022-07-25 13:41:07,你的文言文翻译
2022-07-24 00:40:33,上单用感激的目光看着前来救场的辅助
2022-07-23 20:30:54,说书人：听好了，我只教一遍
2022-07-23 20:29:52,说书人：还挺好听
2022-07-23 20:28:13,华尔兹
2022-07-23 20:22:39,无法反驳
2022-07-23 20:16:35,弹棉花不就相当于做蛋糕时打发蛋清
2022-07-23 20:14:28,"I got your back, buddy."
2022-07-23 17:49:20,3
2022-07-22 19:50:41,再来亿遍
2022-07-21 23:09:48,华尔兹就是这个节拍
2022-07-21 00:27:05,文化输出
2022-07-20 15:54:19,瑶族有种乐器叫一弦琴
2022-07-20 13:26:01,《中 国 民 谣》
2022-07-20 13:20:03,《音乐的魅力》
2022-07-17 23:59:26,一定要复仇，一雪前耻
2022-07-17 22:45:18,笑死我了
2022-07-17 19:06:13,大受震撼
2022-07-17 16:37:51,花姑娘
2022-07-16 12:38:59,芽儿嘞
2022-07-15 17:30:26,前面的没有书名号扣100分。
2022-07-15 17:30:12,预言家
2022-07-15 00:22:10,老称一斤十六两，半斤八两
2022-07-14 16:16:19,囧囧囧
2022-07-14 16:10:26,整首歌--呼唤爱情的棉花
2022-07-14 16:09:28,金牌MVP辅助来了
2022-07-14 16:07:28,前方老幺哥~
2022-07-14 16:06:54,全程高能！！！
2022-07-11 19:52:31,铁打的辅助，流水的c
2022-07-10 22:00:47,我把它当手机铃声了，哈哈哈
2022-07-08 01:25:52,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2022-07-07 11:56:53,好听哦
2022-07-06 15:18:50,阅读理解满分
2022-07-05 22:30:31,还挺好听的
2022-07-04 19:28:38,脑瓜嗡嗡的
2022-07-03 20:21:41,《先不要动粗》
2022-07-01 19:07:05,hhh2333
2022-07-01 13:01:13,哈哈哈哈哈哈
2022-07-01 10:39:51,《文化输出》
2022-06-30 22:49:09,旧时半斤不是等于八两吗？
2022-06-29 19:07:50,哈哈哈哈哈哈笑死我了
2022-06-29 19:07:43,<<花姑娘>>
2022-06-29 19:06:04,哈哈哈哈哈哈哈
2022-06-28 18:23:57,前方高能！！！
2022-06-26 13:52:09,如听仙乐耳暂明
2022-06-25 16:34:01,神秘的东方力量
2022-06-25 16:32:09,棉花姑娘上线
2022-06-25 16:28:26,多兰盾
2022-06-25 16:25:25,钢琴师
2022-06-23 13:38:40,阴乐逝家
2022-06-21 15:50:52,变向的文化输出
2022-06-21 15:31:51,老幺哥~
2022-06-21 08:22:13,谭鱼头
2022-06-20 19:32:22,我司马懿什么时候受过这样的委屈
2022-06-20 16:18:46,啊这
2022-06-20 00:52:49,妈呀，刚学习完手贱点开看了一会….笑的精神抖擞hhhhhhhh
2022-06-19 13:24:39,翻译才是最秀的
2022-06-18 17:17:42,诸葛亮都没我会弹！！！
2022-06-17 17:17:35,哈哈哈哈哈哈哈
2022-06-17 14:07:16,音乐的魅力
2022-06-17 14:05:54,哈哈哈
2022-06-16 12:26:32,司马懿
2022-06-15 23:25:28,《文化输出》
2022-06-14 13:25:41,你不是看见了吗
2022-06-14 13:25:22,你不是看见了吗
2022-06-14 10:17:06,还挺好听...
2022-06-12 19:44:07,我擦，服了
2022-06-12 16:26:46,三个音色的对比
2022-06-12 16:23:15,居然有舞蹈走位
2022-06-11 23:00:28,这一声好好听
2022-06-11 21:25:24,国 服 最 强 杨 玉 环
2022-06-11 21:22:42,《欣 赏 阴 乐》
2022-06-10 12:48:40,完了，更加解释不清了
2022-06-10 12:47:26,这翻译官心虚，哈哈哈哈哈
2022-06-10 12:45:30,神仙翻译
2022-06-10 12:43:22,这是最强的辅助，哈哈哈哈
2022-06-08 23:11:58,喀秋莎也是姑娘对吧（doge）
2022-06-08 20:30:24,哈哈哈哈
2022-06-08 07:25:09,呼叫邱小姐
2022-06-08 06:41:43,没必要没必要没必要没必要
2022-06-08 06:40:25,哎呦我*
2022-06-07 14:31:22,语 文 阅 读 理 解
2022-06-07 14:29:34,注意脸上晃动的肉哈哈哈↓↓
2022-06-07 13:18:44,优雅，实在是太优雅了（愣住
2022-06-07 13:05:39,哈哈哈哈哈哈哈
2022-06-07 10:00:17,几个的唱嗨了
2022-06-06 22:07:03,哈哈哈哈
2022-06-06 20:54:46,真·花姑娘
2022-06-06 00:08:36,说日语你听得懂哇？
2022-06-03 23:05:19,《经典咏流传》
2022-06-03 10:41:27,带着枪的花姑娘
2022-06-03 03:29:04,手机好振！
2022-06-02 23:39:33,哈哈哈中译中
2022-06-02 19:16:50,听得懂汉奸的中文，却听不懂别人的中文
2022-06-02 10:17:08,《转轴拨弦三两声》
2022-06-01 10:51:52,《强烈建议屏蔽“翻译”再进行观看》
2022-05-25 23:33:07,从前有个姑娘叫小芳！
2022-05-23 19:36:15,？
2022-05-23 17:55:56,原来后边还有这么一段，以前光听歌了
2022-05-23 00:38:25,全员到齐，演出开始
2022-05-22 12:04:15,哈哈哈哈哈哈
2022-05-22 09:40:53,这咋越唱越开心呢
2022-05-22 09:39:46,这咋越长越开心呢
2022-05-22 09:37:23,这个乐器叫锅盖
2022-05-21 20:34:33,波波沙
2022-05-19 21:10:29,好！
2022-05-19 14:41:55,蒙太奇
2022-05-19 11:46:16,音乐世家
2022-05-18 23:53:57,天呐这一段三个人的演技绝了！
2022-05-18 21:12:54,TMBoys
2022-05-18 19:41:06,？
2022-05-18 16:36:00,高球老贼
2022-05-18 01:48:55,高俅老贼
2022-05-17 21:13:10,妙啊
2022-05-17 19:24:55,突然发现是丁五味！
2022-05-17 04:33:00,还挺好听
2022-05-17 04:30:58,《乐器》
2022-05-16 23:02:27,音乐家穿着挺朴实
2022-05-16 11:08:53,两个辅助局
2022-05-16 11:08:43,两个辅助局
2022-05-15 22:08:31,花姑凉还真来了
2022-05-14 22:05:50,去你的吧
2022-05-14 11:02:54,谁敢再黑乐队贝斯手
2022-05-14 03:18:59,哈哈 怀念 这里特熟悉
2022-05-14 02:13:09,乐景衬哀情
2022-05-13 23:43:11,作词是日本军官扮演者写的
2022-05-13 22:51:58,一本正经的胡说八道
2022-05-13 22:32:08,虽然是搞笑桥段，但是依旧阴森森的
